Ukrudt og pesto-challenge 0. - 5.,Furesø,Natur- og innovationsværksted,Skolelandbruget og Haver til Maver,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,,,,,,,,,,,,Fødevarer,,,,,,,,,,,,,,,,
Bier 0. - 5.,Furesø,Natur- og innovationsværksted,Skolelandbruget og Haver til Maver,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,,,,,,,,,Natur,,,Fødevarer,,,,,,,,,,,,,,,,
Plantelærer 0. - 5.,Furesø,Natur- og innovationsværksted,Skolelandbruget og Haver til Maver,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,,,,,,,,,Natur,,,Fødevarer,,,,,,,,,,,,,,,,
Sanserne og de 4 verdenskøkkener 0. - 5.,Furesø,Natur- og innovationsværksted,Skolelandbruget og Haver til Maver,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,,,,,,,,,,,,Fødevarer,,,,,,,,,,,,,,,,
Besøg på den økologiske bondegård Stengården 0. - 5.,Furesø,Natur- og innovationsværksted,Skolelandbruget og Haver til Maver,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,,,,,,,,,,,,Fødevarer,,,,,,,,,,,,,,,,
Opbevaring og konservering af grøntsager og kartoffelsuppe 0. - 5.,Furesø,Natur- og innovationsværksted,Skolelandbruget og Haver til Maver,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,,,,,,,,,,,,Fødevarer,,,,,,,,,,,,,,,,
Uld og får 0. - 9.,Furesø,Natur- og innovationsværksted,Skolelandbruget og Haver til Maver,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,,,Udskoling,Natur,,,,Ressourcer,,,,,,,,,,,,,,,
Vild mad med vejleder 0. - 10.,Furesø,Natur- og innovationsværksted,Skolelandbruget,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,Indskoling,Mellemtrin,Udskoling,Natur,,,Fødevarer,Ressourcer,,,,,,,,,,,,,,,
Anatomi i et dyr 5. - 10.,Furesø,Natur- og innovationsværksted,Skolelandbruget,,,,,,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,,Mellemtrin,Udskoling,Natur,,,Fødevarer,,,,,,,,,,,,,,,,
Bonde for en dag 0. - 5.,Furesø,Natur- og innovationsværksted,Skolelandbruget,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,,,,,,Indskoling,Mellemtrin,,,,Klima,Fødevarer,Ressourcer,,,,,,,,,,,,,,,
"Mæl, Ged og Co. 7. - 9.",Furesø,Natur- og innovationsværksted,Skolelandbruget,,,,,,,,7. klasse,8. klasse,9. klasse,,,,Udskoling,,,Klima,Fødevarer,Ressourcer,,,,,,,,,,,,,,,
Klæk i klassen 3. - 4.,Furesø,Natur- og innovationsværksted,Skolelandbruget,,,,3. klasse,4. klasse,,,,,,,Indskoling,Mellemtrin,,Natur,,,Fødevarer,,,,,,,,,,,,,,,,
Bondens kloge hænder 3. - 4.,Furesø,Natur- og innovationsværksted,Skolelandbruget,,,,,,,,,,,,,,,Natur,,Klima,Fødevarer,,,,,,,,,,,,,,,,
Pligter i gamle dage 0. - 1.,Furesø,Natur- og innovationsværksted,Skolelandbruget,0. klasse,1. klasse,,,,,,,,,,Indskoling,,,,,,Fødevarer,Ressourcer,,,,,,,,,,,,,,,
Kæmpe insekter 0. - 3.,Furesø,Natur- og innovationsværksted,Farum Billedskole,0. klasse,1. klasse,2. klasse,3. klasse,,,,,,,,Indskoling,,,Natur,,,,,,,,,,,,,,,,,,,
Byg til Dyr 0. - 3.,Furesø,Natur- og innovationsværksted,Farum Billedskole,0. klasse,1. klasse,2. klasse,3. klasse,,,,,,,,Indskoling,,,Natur,,,,,,,,,,,,,,,,,,,
"Dagstur, naturvejleder 0. - 10.",Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,Indskoling,Mellemtrin,Udskoling,Natur,,,,,,,,,,,,,,,,,,,
Bauneslettens sommerfugle 4. - 6.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,,,4. klasse,5. klasse,6. klasse,,,,,,Mellemtrin,,Natur,,,,,,,,,,,,,,,,,,,
Biodiversitet 8. - 10.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,,,,,,,8. klasse,9. klasse,10. klasse,,,Udskoling,Natur,,,,,,,,,,,,,,,,,,,
Birdrace 4. - 6.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,,,4. klasse,5. klasse,6. klasse,,,,,,Mellemtrin,,Natur,,,,,,,,,,,,,,,,,,,
Byg et insekthotel 2. - 5.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,2. klasse,3. klasse,4. klasse,5. klasse,,,,,,Indskoling,,,Natur,,,,,,,,,,,,,,,,,,,
Dyrespor 0. - 3.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,0. klasse,1. klasse,2. klasse,3. klasse,,,,,,,,Indskoling,,,Natur,,,,,,,,,,,,,,,,,,,
Naturorientering 0. - 3.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,0. klasse,1. klasse,2. klasse,3. klasse,,,,,,,,Indskoling,,,Natur,,,,,,,,,,,,,,,,,,,
Edderkopper 4. - 6.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,,,4. klasse,5. klasse,6. klasse,,,,,,Mellemtrin,,Natur,,,,,,,,,,,,,,,,,,,
Furesøens økologi I 5. - 7.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,,,,5. klasse,6. klasse,7. klasse,,,,,Mellemtrin,,Natur,,,,,,,,,,,,,,,,,,,
Furesøens økologi II 8. - 10.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,,,,,,,8. klasse,9. klasse,10. klasse,,,Udskoling,Natur,,,,,,,,,,,,,,,,,,,
Fiskeri fra bred 3. - 5.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,,3. klasse,4. klasse,5. klasse,,,,,,Indskoling,Mellemtrin,,Natur,,,,,,,,,,,,,,,,,,,
Fiskeundersøgelser 6. - 7.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,,,,,6. klasse,7. klasse,8. klasse,,,,Mellemtrin,,Natur,,,,,,,,,,,,,,,,,,,
Fugle 3. - 5.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,,3. klasse,4. klasse,5. klasse,,,,,,Indskoling,Mellemtrin,,Natur,,,,,,,,,,,,,,,,,,,
Introduktion til Furesøen 2. - 4.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,2. klasse,3. klasse,4. klasse,,,,,,,Indskoling,,,Natur,,,,,,,,,,,,,,,,,,,
Krebsdyrens Verden 4. - 6.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,,,4. klasse,5. klasse,6. klasse,,,,,,Mellemtrin,,Natur,,,,,,,,,,,,,,,,,,,
Livet i dammen 1. - 3.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,1. klasse,2. klasse,3. klasse,,,,,,,,Indskoling,,,Natur,,,,,,,,,,,,,,,,,,,
Mini jagttegn 3. - 4.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,,3. klasse,4. klasse,5. klasse,,,,,,Indskoling,,,Natur,,,,,,,,,,,,,,,,,,,
På jagt i vildnisset 1. - 2.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,1. klasse,2. klasse,,,,,,,,,Indskoling,,,Natur,,,,,,,,,,,,,,,,,,,
Skovøkologi 8. - 10.,Furesø,Natur- og innovationsværksted,Fiskebæk Naturskole,,,,,,,,7. klasse,8. klasse,9. klasse,10. klasse,,,Udskoling,Natur,,Klima,,,,,,,,,,,,,,,,,
